 r,pw,pg,C,sg,R^2/t
0.300000012,22009033.825480871,22009725.535108320,0.14581341792429772,0.45194549638286241,1.0000000397364298E-005
0.600000024,21830228.078372158,21830557.325089414,0.14581509371041565,0.29387351344562451,4.0000001589457193E-005
2.09999990,20914870.809239931,20915116.841744721,0.14597963716139678,0.22432200017728166,4.8999993006388352E-004
4.80000019,19282213.894885037,19282396.383934394,0.14657768341472038,0.14988714606354958,2.5600001017252604E-003
8.69999981,16396353.943751497,16396437.191921800,0.14858933137780686,3.8896408786568193E-002,8.4099994235568576E-003
13.8000002,14972374.275212983,14972424.121356627,0.14993807313174795,2.3448173268372230E-002,2.1160000271267361E-002
20.1000004,14243421.650248161,14243471.455571635,0.15012632405308640,2.3436238327667613E-002,4.4890001085069443E-002
27.6000004,13649461.402634362,13649511.260602335,0.15011126374147682,2.3471367055752701E-002,8.4640001085069444E-002
36.2999992,13172333.577367157,13172383.476313867,0.15008037419877671,2.3500947327991684E-002,0.14640999348958333
46.2000008,12799533.034717659,12799582.965240840,0.15005487177600649,2.3524616516392927E-002,0.23716002061631944
57.2999992,12519432.975388907,12519482.929691156,0.15003564784815845,2.3542571480428709E-002,0.36480997721354169
69.5999985,12319227.423377249,12319277.394872621,0.15002190730768705,2.3555394854001044E-002,0.53823996310763889
83.0999985,12184407.875183027,12184457.858445710,0.15001265497832025,2.3563956524066176E-002,0.76728998480902777
97.8000031,12099578.632909751,12099628.623714436,0.15000683351715413,2.3569265892584124E-002,1.0627600911458333
113.699997,12050037.353400571,12050087.348696651,0.15000343375596753,2.3572307944662363E-002,1.4364099392361112
130.800003,12023316.094656561,12023366.092424193,0.15000160002989851,2.3573912112276441E-002,1.9009600694444444
149.100006,12010050.423948672,12010100.422968442,0.15000068969022803,2.3574688696421875E-002,2.4700902777777776
168.600006,12004001.415677782,12004051.415280232,0.15000027458765602,2.3575033344052754E-002,3.1584403211805556
189.300003,12001470.351317117,12001520.351168333,0.15000010089887880,2.3575173499034818E-002,3.9816102430555556
211.199997,12000498.617930856,12000548.617879488,0.15000003421615438,2.3575225745340100E-002,4.9561597222222220
234.300003,12000156.113797447,12000206.113781082,0.15000001071279578,2.3575243611104968E-002,6.0996102430555554
258.600006,12000045.165121483,12000095.165116666,0.15000000309929615,2.3575249223259931E-002,7.4304401041666663
284.100006,12000012.087768629,12000062.087767320,0.15000000082947731,2.3575250845331963E-002,8.9680902777777778
310.799988,12000002.996796448,12000052.996796118,0.15000000020564314,2.3575251277272002E-002,10.732959201388889
338.700012,12000000.689269630,12000050.689269552,0.15000000004729819,2.3575251384491125E-002,12.746410590277778
367.799988,12000000.147311645,12000050.147311628,0.15000000001010860,2.3575251405934861E-002,15.030758680555556
398.100006,12000000.029303676,12000050.029303674,0.15000000000201083,2.3575251413593401E-002,17.609289930555555
429.600006,12000000.005434763,12000050.005434763,0.15000000000037292,2.3575251415125065E-002,20.506241319444445
462.299988,12000000.000941373,12000050.000941373,0.15000000000006455,2.3575251415125065E-002,23.746809027777779
496.200012,12000000.000152577,12000050.000152577,0.15000000000001043,2.3575251415125065E-002,27.357161458333334
531.299988,12000000.000023222,12000050.000023222,0.15000000000000158,2.3575251415125065E-002,31.364409722222224
